Metadata	Feature_Name
Patient	TFRC
Patient	AFF4
Patient	SMC1A_x
Patient	FCGR2B
Patient	TP63
Patient	SDHA
Patient	SMARCE1
Patient	KDM5A
Patient	IGF2BP2
Patient	MAP3K13
Patient	PICALM
Patient	EED_x
Patient	ARHGEF10L_x
Patient	MLH1
Patient	NT5C2
Patient	NFKB2
Patient	FGFR1
Patient	ARAF
Patient	N4BP2
Patient	HOXA9
Patient	MLLT10
Patient	PCM1
Patient	CIC
Patient	DNM2
Patient	KEAP1
Patient	HSP90AA1
Patient	PTPRC
Patient	ERC1
Patient	XPO1
Patient	PALB2
Patient	KAT6A
Patient	CYLD
Patient	FAT1
Patient	NCOA1
Patient	BCORL1_x
Patient	ATRX
Patient	MECOM
Patient	EPS15
Patient	BAX
Patient	GNAS_x
Patient	CNOT3
Patient	GNA11
Patient	FUS
Patient	CD209
Patient	FH
Patient	ESR1
Patient	EZR
Patient	MSH2_x
Patient	MAP3K1
Patient	HSP90AB1
Patient	JAK2_x
Patient	ABL1
Patient	LZTR1
Patient	SMARCB1
Patient	MAPK1
Patient	PATZ1
Patient	PDGFB
Patient	MYH9
Patient	EP300_x
Patient	NIN
Patient	HIF1A
Patient	DICER1
Patient	TCL1A
Patient	CCNB1IP1
Patient	TRIP11
Patient	ARHGAP5
Patient	NFATC2
Patient	SALL4_x
Patient	PTK6
Patient	CRNKL1
Patient	STAG2_x
Patient	ELF4
Patient	GATA1
Patient	CTCF_x
Patient	AXIN1
Patient	TSC2
Patient	IL21R
Patient	NBN
Patient	IKBKB
Patient	EIF3E
Patient	NDRG1
Patient	UBR5_x
Patient	LEPROTL1
Patient	ARHGEF10_x
Patient	ERCC2
Patient	LYL1
Patient	CCNE1
Patient	AKT2
Patient	CD79A
Patient	PPP2R1A
Patient	TFPT
Patient	JAK3_x
Patient	ELL
Patient	CRTC1
Patient	CDK6
Patient	MET
Patient	HOXA13
Patient	EZH2_x
Patient	SFRP4
Patient	GATA3
Patient	BMPR1A
Patient	CPEB3
Patient	SUFU
Patient	LARP4B
Patient	CCDC6
Patient	MLLT6
Patient	RNF43
Patient	DDX5
Patient	COL1A1
Patient	HLF
Patient	PRKAR1A
Patient	YWHAE
Patient	CHIC2
Patient	FBXW7
Patient	ZBTB16
Patient	CCND1
Patient	DDX6
Patient	CBL_x
Patient	CARS
Patient	NUP98_x
Patient	POU2AF1
Patient	PPFIBP1
Patient	PRPF40B
Patient	BCL7A
Patient	GLI1
Patient	SH2B3
Patient	ALDH2
Patient	CDKN1B
Patient	CHD4
Patient	PTPN6
Patient	FANCE
Patient	SRSF3
Patient	CCNC
Patient	QKI
Patient	TFEB
Patient	CCND3_x
Patient	ITK
Patient	DROSHA
Patient	GOLPH3
Patient	SUB1
Patient	LIFR
Patient	PDGFRB
Patient	BCL6
Patient	TFG
Patient	CBLB
Patient	FOXP1
Patient	ACVR1
Patient	SF3B1_x
Patient	BIRC6
Patient	STRN
Patient	EPAS1
Patient	NFE2L2
Patient	MSH6
Patient	BCL9
Patient	RPL22
Patient	SFPQ
Patient	PRDM2
Patient	MYCL
Patient	AKT3
Patient	SDHB
Patient	ID3
Patient	MPL_x
Patient	ARID1A
Patient	STAG1_x
Patient	STK11
Patient	KMT2A
Patient	CREB1
Patient	TNFAIP3
Patient	MYB_x
Patient	SGK1
Patient	FOXO3
